date,MC 06,MC 09,MC 16,MC 22,MC 26,BC 28
2014-12-01,85.5,96.0,91.5,98.5,0.0,11.5
2014-12-02,90.5,95.5,92.5,96.5,0.0,1.5
2014-12-03,94.0,97.5,95.5,97.5,0.0,52.0
2014-12-04,93.5,99.5,94.0,98.0,0.0,35.5
2014-12-05,92.5,96.0,96.0,99.0,0.0,16.5
2014-12-06,93.5,97.0,96.0,98.0,0.0,27.0
2014-12-07,92.5,97.0,97.5,99.0,0.0,70.0
2014-12-08,96.5,100.0,99.0,99.0,10.0,53.0
2014-12-09,93.0,98.0,98.0,99.5,0.0,78.5
2014-12-10,100.0,100.0,100.0,100.0,5.0,73.0
2014-12-11,93.0,98.5,97.5,97.0,0.0,49.5
2014-12-12,94.5,100.0,96.0,99.5,0.0,56.0
2014-12-13,96.0,99.5,96.0,99.0,2.0,41.5
2014-12-14,93.0,97.5,100.0,99.0,0.0,49.0
2014-12-15,93.5,97.5,93.5,100.0,0.0,1.5
2014-12-16,94.0,96.0,97.5,98.0,0.0,7.0
2014-12-17,95.5,98.5,98.5,98.5,0.0,6.0
2014-12-18,89.0,91.5,94.0,99.0,0.0,45.0
2014-12-19,100.0,100.0,100.0,100.0,0.0,47.0
2014-12-20,98.5,100.0,100.0,100.0,1.0,23.5
2014-12-21,97.5,96.5,98.0,99.5,0.0,0.0
2014-12-22,96.5,99.5,97.5,98.0,7.0,0.0
2014-12-23,96.5,97.0,96.5,99.5,0.0,0.0
2014-12-24,100.0,100.0,99.5,100.0,0.0,0.0
2014-12-25,100.0,100.0,100.0,100.0,0.0,0.0
2014-12-26,91.0,96.5,92.5,95.5,0.0,0.0
2014-12-27,97.0,97.5,97.0,99.0,0.0,0.0
2014-12-28,100.0,100.0,100.0,100.0,0.0,0.0
2014-12-29,99.0,98.5,98.5,99.0,6.0,0.0
2014-12-30,98.0,99.5,98.5,100.0,59.0,0.0
2014-12-31,100.0,100.0,100.0,100.0,16.5,0.0
2015-01-01,100.0,100.0,100.0,100.0,59.5,0.0
2015-01-02,98.0,99.0,99.0,99.5,10.0,0.0
2015-01-03,100.0,100.0,100.0,100.0,22.0,0.0
2015-01-04,100.0,100.0,100.0,100.0,0.0,0.0
2015-01-05,100.0,100.0,100.0,100.0,3.5,0.0
2015-01-06,100.0,100.0,100.0,100.0,0.0,0.0
2015-01-07,100.0,100.0,99.5,100.0,0.0,0.0
2015-01-08,100.0,100.0,98.5,100.0,0.0,0.0
2015-01-09,100.0,100.0,98.0,100.0,0.0,0.0
2015-01-10,100.0,100.0,99.0,100.0,0.0,0.0
2015-01-11,100.0,100.0,98.5,100.0,0.0,0.0
2015-01-12,100.0,100.0,99.0,100.0,23.5,0.0
2015-01-13,100.0,100.0,100.0,99.5,0.0,0.0
2015-01-14,99.5,100.0,95.0,100.0,0.0,0.0
2015-01-15,100.0,100.0,100.0,100.0,0.0,0.0
2015-01-16,100.0,100.0,100.0,100.0,44.5,0.0
2015-01-17,100.0,100.0,100.0,100.0,23.5,0.0
2015-01-18,100.0,100.0,99.0,100.0,0.0,14.0
2015-01-19,100.0,100.0,98.5,100.0,4.0,0.0
2015-01-20,100.0,100.0,100.0,100.0,2.0,27.5
2015-01-21,100.0,100.0,98.0,99.5,0.0,23.0
2015-01-22,100.0,100.0,100.0,100.0,26.0,49.0
2015-01-23,98.5,100.0,100.0,100.0,2.5,0.0
2015-01-24,99.5,100.0,99.0,100.0,0.0,0.0
